431 1021 457.0
432 1544 -1153.0
434 653 -1159.0
434 1455 443.0
436 1899 1800.0
439 523 -477.0
441 1258 924.0
443 1522 -905.0
444 677 1797.0
447 16 431.0
448 340 -539.0
452 677 783.0
452 1114 -1023.0
454 214 758.0
454 760 2454.0
456 555 1629.0
456 1177 2890.0
457 1456 4673.0
458 1112 2501.0
459 151 -510.0
459 1026 634.0
460 917 4430.0
460 1490 582.0
462 909 790.0
463 1192 1254.0
468 740 -798.0
474 1715 5058.0
475 380 1101.0
476 1196 2155.0
478 1933 737.0
481 304 985.0
482 1410 3838.0
482 1422 487.0
486 1455 1430.0
487 752 -1125.0
489 621 641.0
489 891 -1082.0
495 322 -943.0
497 1084 1128.0
498 1568 5820.0
498 1666 -447.0
499 575 1519.0
500 1750 3587.0
502 1262 -801.0
504 1963 -406.0
506 254 3038.0
508 1292 4833.0
509 550 1844.0
510 134 4079.0
511 493 610.0
512 425 4754.0
512 1574 1864.0
513 1189 5305.0
515 1950 2760.0
516 749 2375.0
520 916 -1211.0
520 1176 1313.0
526 264 1632.0
527 1308 687.0
528 594 3602.0
529 1309 -961.0
532 296 560.0
532 599 -779.0
533 224 1995.0
533 484 930.0
533 928 -1221.0
533 1829 1169.0
537 508 -1550.0
538 1652 1864.0
540 755 2077.0
541 710 852.0
542 1896 8502.0
545 2028 8066.0
546 922 -1194.0
549 1120 1077.0
550 1197 5095.0
550 1225 -1167.0
552 1534 6838.0
554 535 604.0
554 975 -525.0
557 1614 2839.0
558 880 2966.0
562 1589 2824.0
563 496 2810.0
564 1137 582.0
565 1344 -793.0
566 1754 5480.0
569 888 2070.0
570 1952 1785.0
571 622 533.0
571 1365 -1142.0
576 437 826.0
580 35 3667.0
581 405 541.0
581 683 1166.0
581 1278 -621.0
582 1183 -844.0
584 1393 693.0
587 522 -845.0
588 552 780.0
588 1448 -1048.0
588 1907 616.0
589 490 3036.0
590 694 1403.0
591 228 1831.0
591 1052 2055.0
592 617 1833.0
592 748 -1177.0
592 962 -1343.0
593 1289 3589.0
595 1113 -1135.0
596 905 3143.0
598 1738 740.0
599 585 1736.0
599 1328 624.0
601 529 -1115.0
607 1034 778.0
607 1967 2093.0
608 1266 832.0
609 188 1118.0
610 189 46.0
614 1134 1869.0
615 1333 585.0
617 966 2643.0
618 170 -987.0
620 1719 429.0
623 752 2259.0
624 1291 2893.0
625 1285 548.0
625 1290 1784.0
625 1292 2029.0
626 235 727.0
626 1292 1430.0
626 1293 73.0
627 1291 5021.0
627 1292 573.0
627 1293 21.0
628 161 -843.0
628 1292 19.0
631 1687 1017.0
633 1753 3148.0
639 1965 4020.0
640 541 2222.0
643 1322 761.0
643 1324 1220.0
645 1868 1686.0
649 510 3472.0
649 1784 2107.0
650 640 1841.0
652 198 -995.0
652 1160 1562.0
653 363 1883.0
653 405 -704.0
654 822 4578.0
655 1065 -526.0
659 556 1581.0
659 1364 1533.0
660 1928 -410.0
662 1026 -1171.0
664 591 -1095.0
666 434 -1319.0
667 1379 635.0
668 55 2981.0
